,barangay,cluster,area_km2,lon,lat,district
131,South Triangle,N,1.1241333899357857,121.03609545996942,14.63793834262606,4
132,Ugong Norte,N,2.779574824926751,121.0710797007073,14.596621109782314,3
133,Valencia,N,0.4368986908972604,121.03650064778368,14.610758650758925,4
134,Gulod,O,1.2772461315722965,121.0409844899519,14.711593242936438,5
135,Kaligayahan,O,2.455405876181613,121.04592340236758,14.73457970222496,5
136,Nagkaisang Nayon,O,2.7178948425005696,121.02508783571754,14.718881001976428,5
137,Novaliches Proper,O,0.6249782843362722,121.03743592813052,14.72064345233754,5
138,San Agustin,O,1.1692728871030438,121.0343875048374,14.730169664871518,5
139,San Bartolome,O,3.5884948943156325,121.03096435910088,14.706277394876846,5
140,Santa Monica,O,1.6522687298969028,121.04625790421464,14.71904452380531,5
141,Capri,O,0.0942875249185407,121.0284769537558,14.716798806084697,5
